movie_id,title,overview,release_date,genres,tmdb_rating,imdb_rating,box_office,awards,runtime,fetch_date,page_number,created_at
16250,Love Comes Softly,"Nineteen year old pioneer woman Marty has recently married. She goes west with her husband Clem, hoping to start a new life. But Clem unexpectedly dies, and Marty finds herself alone, two months pregnant. Widower Clark offers her a marriage of convenience: she needs food and money, and he needs someone to take care of his daughter Missie. She accepts his proposal as a temporary solution.",2003-04-13,"TV Movie,Western,Romance,Drama",6.7,7.3,N/A,3 wins,88 min,,,2024-11-19 22:39:30.262276+00
1103825,War of the Worlds: The Attack,Three young astronomers fight to survive a deadly Martian invasion.,2023-04-21,"Science Fiction,Mystery,Thriller",5.1,3.2,N/A,1 nomination,85 min,,,2024-11-19 22:39:31.814267+00
39106,Dragon Ball Z: Bio-Broly,"Jaga Bada, Mr. Satan's old sparring partner, has invited Satan to his personal island to hold a grudge match. Trunks and Goten decide to come for the adventure and Android #18 is following Satan for the money he owes her. Little do they know that Jaga Bada's scientist have found a way to resurrect Broly, the legendary Super Saiyan.",1994-07-09,"Animation,Action,Science Fiction",5.741,5.8,N/A,N/A,47 min,,,2024-11-19 22:39:36.201249+00
1051896,Arcadian,"In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive.",2024-04-12,"Action,Horror,Thriller,Science Fiction",6.1,5.5,"$828,919",1 nomination,92 min,2024-11-19,,2024-11-19 07:05:45.184981+00
1124641,Classified,"Operating alone in the field for more than 20 years, a CIA hitman uses the ""Help Wanted"" section of the newspapers to get his orders from the Agency. His long-lost daughter, now a UK MI6 analyst, tracks him down to deliver shocking news: his CIA boss has been dead for years and the division long since shut down. Together, they set out to discover whose orders he's been executing.",2024-09-19,"Action,Thriller",5.6,3.8,N/A,N/A,105 min,2024-11-19,,2024-11-19 07:05:45.08505+00
519182,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",2024-06-20,"Animation,Family,Comedy,Action",7.092,6.2,"$361,004,205",N/A,94 min,2024-11-19,,2024-11-19 07:05:45.160544+00
945961,Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",2024-08-13,"Science Fiction,Horror",7.253,7.2,"$105,309,610",1 win & 3 nominations,119 min,2024-11-19,,2024-11-19 07:05:45.136568+00
533535,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",2024-07-24,"Action,Comedy,Science Fiction",7.694,7.8,"$636,739,346",4 wins & 2 nominations,128 min,2024-11-19,,2024-11-19 07:05:45.01401+00
1118031,Apocalypse Z: The Beginning of the End,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",2024-10-04,"Drama,Action,Horror",6.773,N/A,N/A,N/A,N/A,2024-11-19,,2024-11-19 07:05:44.964783+00
933260,The Substance,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",2024-09-07,"Drama,Horror,Science Fiction",7.281,7.7,"$11,958,607",3 wins & 4 nominations,141 min,2024-11-19,,2024-11-19 07:05:45.038583+00
